                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9829,                 2.0782,                 1.4452,                0.31499,                 0.3469,                0.27898,                0.11571,                 2.0965,                 11.904,                 1.6157,               0.070216,              0.0033094,              0.0033094
                      2,                 1.9629,                 1.7541,                 1.4252,                0.52417,                0.48659,                0.46365,                0.22076,                 1.9147,                  2.056,                  1.404,               0.040134,              0.0065605,              0.0065605
                      3,                 1.9376,                 1.6655,                 1.4145,                0.57701,                0.54388,                0.54258,                0.25213,                 1.8915,                 1.9976,                 1.4027,              0.0099689,              0.0097291,              0.0097291
                      4,                 1.9089,                 1.6508,                 1.3969,                0.47665,                0.54487,                0.44539,                 0.2198,                 1.8527,                 3.2245,                 1.3676,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.8708,                  1.582,                 1.3813,                0.62703,                0.50233,                0.52464,                0.25722,                  1.827,                 1.7131,                 1.3438,              0.0096288,              0.0096288,              0.0096288
                      6,                 1.8608,                 1.5291,                 1.3677,                 0.5557,                0.46743,                0.46636,                 0.2292,                 1.8024,                 1.7024,                 1.3176,               0.009505,               0.009505,               0.009505
                      7,                 1.8466,                 1.4771,                 1.3498,                0.65821,                0.50231,                0.56167,                0.27979,                 1.7855,                 1.7899,                 1.3007,              0.0093813,              0.0093813,              0.0093813
                      8,                 1.8302,                 1.4762,                 1.3587,                0.60962,                0.53839,                0.57122,                0.28183,                 1.7692,                 1.5808,                 1.3266,              0.0092575,              0.0092575,              0.0092575
                      9,                 1.8189,                 1.4396,                  1.344,                0.63184,                0.54394,                0.58444,                0.28437,                 1.8388,                 1.4562,                 1.3415,              0.0091337,              0.0091337,              0.0091337
                     10,                 1.8203,                 1.4447,                 1.3428,                0.65192,                 0.5752,                0.60656,                0.31989,                 1.6697,                 1.3475,                  1.278,                0.00901,                0.00901,                0.00901
